title,genre
Zack and Miri Make a Porno,Romance
Youth in Revolt,Comedy
You Will Meet a Tall Dark Stranger,Comedy
When in Rome,Comedy
What Happens in Vegas,Comedy
Water For Elephants,Drama
WALL-E,Animation
Waitress,Romance
Waiting For Forever,Romance
Valentine's Day,Comedy
Tyler Perry's Why Did I get Married,Romance
Twilight: Breaking Dawn,Romance
Twilight,Romance
The Ugly Truth,Comedy
The Twilight Saga: New Moon,Drama
The Time Traveler's Wife,Drama
The Proposal,Comedy
The Invention of Lying,Comedy
The Heartbreak Kid,Comedy
The Duchess,Drama
The Curious Case of Benjamin Button,Fantasy
The Back-up Plan,Comedy
Tangled,Animation
Something Borrowed,Romance
She's Out of My League,Comedy
Sex and the City Two,Comedy
Sex and the City 2,Comedy
Sex and the City,Comedy
Remember Me,Drama
Rachel Getting Married,Drama
Penelope,Comedy
P.S. I Love You,Romance
Over Her Dead Body,Comedy
Our Family Wedding,Comedy
One Day,Romance
Not Easily Broken,Drama
No Reservations,Comedy
Nick and Norah's Infinite Playlist,Comedy
New Year's Eve,Romance
My Week with Marilyn,Drama
Music and Lyrics,Romance
Monte Carlo,Romance
Miss Pettigrew Lives for a Day,Comedy
Midnight in Paris,Romence
Marley and Me,Comedy
Mamma Mia!,Comedy
Mamma Mia!,Comedy
Made of Honor,Comdy
Love Happens,Drama
Love & Other Drugs,Comedy
Life as We Know It,Comedy
License to Wed,Comedy
Letters to Juliet,Comedy
Leap Year,Comedy
Knocked Up,Comedy
Killers,Action
Just Wright,Comedy
Jane Eyre,Romance
It's Complicated,Comedy
I Love You Phillip Morris,Comedy
High School Musical 3: Senior Year,Comedy
He's Just Not That Into You,Comedy
Good Luck Chuck,Comedy
Going the Distance,Comedy
Gnomeo and Juliet,Animation
Gnomeo and Juliet,Animation
Ghosts of Girlfriends Past,Comedy
Four Christmases,Comedy
Fireproof,Drama
Enchanted,Comedy
Dear John,Drama
Beginners,Comedy
Across the Universe,romance
A Serious Man,Drama
A Dangerous Method,Drama
27 Dresses,Comedy
(500) Days of Summer,comedy
